horizontal segments 74000
760 786 782
686 726 752
944 955 355
689 941 76
998 1000 657
739 783 865
821 993 262
159 352 16
938 946 924
902 908 954
317 687 187
200 318 323
599 817 289
83 768 23
345 937 896
344 640 121
258 636 616
570 803 161
78 568 824
78 975 929
457 672 397
470 689 861
182 379 121
682 691 178
904 999 787
369 831 476
933 994 465
735 794 305
334 818 901
339 569 441
153 175 692
476 606 37
663 871 613
503 966 394
197 247 536
987 989 490
613 858 875
809 969 449
428 767 237
409 932 885
280 974 541
220 462 733
291 814 869
920 961 953
974 994 932
305 490 925
568 667 810
606 677 158
497 649 877
491 662 81
257 309 207
963 987 469
956 979 961
580 769 184
973 993 363
502 711 901
501 599 656
54 216 359
320 916 593
65 928 882
297 609 277
522 687 478
595 605 161
439 738 42
95 580 491
855 995 792
720 729 354
622 632 664
372 500 104
276 671 761
643 938 788
11 586 806
677 836 427
115 392 320
490 980 173
706 841 339
374 546 253
652 918 416
300 780 334
756 988 496
134 624 370
313 602 984
92 606 250
248 918 823
420 497 962
890 922 939
800 945 821
886 993 456
694 811 852
620 713 329
700 961 164
229 915 244
930 946 808
77 450 665
111 931 738
121 518 434
692 946 222
799 971 636
40 622 890
394 570 647
207 833 237
144 842 674
496 899 149
984 989 239
69 315 748
774 960 456
964 983 85
705 836 398
241 801 702
417 763 734
973 982 890
600 808 492
615 891 537
692 959 800
605 878 26
141 552 489
438 828 199
152 340 558
537 965 341
284 912 387
142 193 755
911 952 614
471 707 54
40 137 971
929 961 948
314 414 823
421 485 431
447 883 615
287 349 753
73 601 26
576 777 678
348 385 779
825 844 747
954 989 254
221 566 551
555 727 882
885 908 892
409 709 440
671 836 943
447 567 934
531 942 246
840 881 706
942 971 238
752 965 175
155 421 266
904 969 821
972 990 460
892 974 529
17 854 125
87 140 750
652 900 696
648 710 230
759 790 549
980 981 496
52 692 115
349 958 322
893 894 906
581 980 813
555 935 828
462 694 671
211 640 297
988 992 808
982 983 317
190 976 373
878 885 836
330 346 449
490 548 555
820 876 692
682 931 706
705 943 389
775 938 906
563 566 590
798 934 932
502 722 497
309 983 241
69 239 488
667 953 896
510 542 215
91 538 911
548 737 7
222 498 108
307 308 392
179 700 885
303 447 826
156 860 490
536 993 155
581 901 768
453 905 122
812 976 885
782 908 619
878 957 693
897 932 979
724 832 640
271 721 633
47 539 790
638 750 612
491 817 963
47 968 59
541 709 215
557 924 605
805 887 837
355 948 484
346 991 522
658 701 485
340 348 809
885 943 751
449 970 581
682 952 895
158 227 268
23 251 426
31 55 391
784 869 824
339 858 644
255 357 908
872 914 119
727 857 432
285 395 182
674 704 677
432 744 441
825 922 672
584 806 681
318 987 977
851 922 790
968 996 925
119 409 302
38 195 270
612 830 488
735 752 535
221 469 921
904 940 498
942 999 221
138 817 222
731 920 496
737 840 330
245 829 716
988 990 388
37 548 899
323 847 503
49 825 935
288 427 411
407 986 382
555 702 853
746 870 814
916 945 63
134 331 274
386 611 575
222 912 74
804 927 54
879 947 527
796 955 310
859 887 102
895 962 833
424 833 974
701 898 491
278 776 613
744 820 10
489 939 48
209 365 196
48 121 648
88 906 771
3 395 629
711 931 910
899 997 268
235 339 294
247 833 785
539 606 467
42 486 456
703 899 841
80 832 65
3 86 514
224 516 545
556 772 93
293 413 161
573 878 439
329 332 611
385 388 85
667 744 515
543 753 458
945 980 933
872 924 423
570 791 735
630 976 142
983 990 731
998 1000 250
445 915 341
666 773 819
506 512 832
250 803 654
98 958 426
886 918 186
253 359 686
533 575 835
62 254 8
920 927 576
107 743 81
960 970 359
690 904 132
659 939 783
42 804 666
576 954 309
218 651 879
254 995 711
14 529 722
588 895 531
979 985 65
9 994 483
230 690 489
634 944 904
116 237 519
962 992 130
61 63 417
831 854 24
248 803 452
72 769 298
266 958 164
642 702 543
914 943 900
771 929 343
151 509 847
917 931 667
440 595 639
172 945 401
868 974 67
674 848 17
75 539 246
270 528 485
771 789 438
458 638 262
631 698 707
405 951 377
687 833 17
416 660 845
390 481 975
512 941 703
957 987 793
130 249 947
915 925 876
368 817 300
