horizontal segments 34000
568 826 6
646 768 642
626 693 335
562 998 243
350 646 149
416 870 920
993 999 422
403 445 547
310 881 696
625 947 728
565 743 952
41 65 170
823 999 683
746 792 242
391 433 319
696 774 518
384 471 702
699 898 388
335 671 273
58 387 324
115 551 580
127 165 316
433 488 248
148 814 202
583 663 966
156 801 626
295 747 532
912 986 979
468 481 532
805 901 837
431 904 914
93 953 984
555 834 136
183 221 375
235 746 88
158 322 394
244 435 297
453 932 292
132 908 37
404 794 156
354 556 422
580 913 53
156 550 238
506 920 440
313 890 962
107 314 362
186 674 221
331 529 660
122 558 675
341 868 285
702 764 271
658 957 572
431 549 121
351 666 209
411 751 864
741 962 320
206 286 881
614 653 197
669 771 915
63 432 262
105 808 747
609 633 16
24 308 436
20 213 387
85 860 481
333 994 480
40 190 182
223 980 248
920 921 143
680 875 897
236 497 433
907 981 390
410 778 966
556 882 342
483 565 183
447 703 892
224 304 441
399 564 328
714 783 751
852 930 624
604 825 435
520 788 673
127 297 451
482 649 127
152 384 20
375 924 854
950 951 888
93 951 989
198 490 942
317 323 950
930 973 183
522 567 659
694 826 373
202 717 20
464 668 688
755 824 692
642 713 364
659 885 86
18 364 531
492 816 605
423 829 172
214 645 292
712 846 859
436 549 61
256 480 139
41 816 618
894 935 596
961 969 33
120 866 966
485 991 941
893 993 503
35 115 761
504 805 408
272 893 348
9 359 801
172 471 535
718 979 318
764 900 582
950 966 185
991 998 752
110 595 148
473 617 141
956 993 744
847 951 292
645 719 822
129 606 273
478 931 896
67 321 317
705 889 314
404 685 936
424 916 493
290 486 441
647 800 339
762 890 772
325 619 54
44 734 758
960 992 502
480 745 717
414 552 311
32 570 292
672 875 760
990 993 808
215 936 217
203 875 41
332 686 575
916 985 911
126 973 811
841 930 942
107 644 719
913 933 63
179 293 311
423 632 211
182 996 846
542 731 850
471 537 645
457 899 803
73 743 558
702 805 328
496 609 7
918 921 543
808 857 872
999 1000 500
241 269 495
742 858 998
919 928 596
826 971 587
44 61 771
406 829 236
148 384 7
150 430 542
711 860 848
214 404 864
439 995 261
938 944 412
350 884 146
120 304 896
752 869 108
428 904 719
400 791 761
823 900 244
732 867 537
542 662 264
768 918 67
841 895 348
812 909 802
381 533 864
951 983 696
610 619 334
573 958 258
